id	Demand	TW_early	TW_late	TW_service_time	TW_wait_cost
0	0.0	0.0	1236.0	0.0	0.0
1	10.0	912.0	967.0	90.0	0.0
2	30.0	825.0	870.0	90.0	0.0
3	10.0	65.0	146.0	90.0	0.0
4	10.0	727.0	782.0	90.0	0.0
5	10.0	15.0	67.0	90.0	0.0
6	20.0	621.0	702.0	90.0	0.0
7	20.0	170.0	225.0	90.0	0.0
8	20.0	255.0	324.0	90.0	0.0
9	10.0	534.0	605.0	90.0	0.0
10	10.0	357.0	410.0	90.0	0.0
11	10.0	448.0	505.0	90.0	0.0
12	20.0	652.0	721.0	90.0	0.0
13	30.0	30.0	92.0	90.0	0.0
14	10.0	567.0	620.0	90.0	0.0
15	40.0	384.0	429.0	90.0	0.0
16	40.0	475.0	528.0	90.0	0.0
17	20.0	99.0	148.0	90.0	0.0
18	20.0	179.0	254.0	90.0	0.0
19	10.0	278.0	345.0	90.0	0.0
20	10.0	10.0	73.0	90.0	0.0
21	20.0	914.0	965.0	90.0	0.0
22	20.0	812.0	883.0	90.0	0.0
23	10.0	732.0	777.0	90.0	0.0
24	10.0	65.0	144.0	90.0	0.0
25	40.0	169.0	224.0	90.0	0.0
26	10.0	622.0	701.0	90.0	0.0
27	10.0	261.0	316.0	90.0	0.0
28	20.0	546.0	593.0	90.0	0.0
29	10.0	358.0	405.0	90.0	0.0
30	10.0	449.0	504.0	90.0	0.0
31	20.0	200.0	237.0	90.0	0.0
32	30.0	31.0	100.0	90.0	0.0
33	40.0	87.0	158.0	90.0	0.0
34	20.0	751.0	816.0	90.0	0.0
35	10.0	283.0	344.0	90.0	0.0
36	10.0	665.0	716.0	90.0	0.0
37	20.0	383.0	434.0	90.0	0.0
38	30.0	479.0	522.0	90.0	0.0
39	20.0	567.0	624.0	90.0	0.0
40	10.0	264.0	321.0	90.0	0.0
41	10.0	166.0	235.0	90.0	0.0
42	20.0	68.0	149.0	90.0	0.0
43	10.0	16.0	80.0	90.0	0.0
44	10.0	359.0	412.0	90.0	0.0
45	10.0	541.0	600.0	90.0	0.0
46	30.0	448.0	509.0	90.0	0.0
47	10.0	1054.0	1127.0	90.0	0.0
48	10.0	632.0	693.0	90.0	0.0
49	10.0	1001.0	1066.0	90.0	0.0
50	10.0	815.0	880.0	90.0	0.0
51	10.0	725.0	786.0	90.0	0.0
52	10.0	912.0	969.0	90.0	0.0
53	20.0	286.0	347.0	90.0	0.0
54	40.0	186.0	257.0	90.0	0.0
55	10.0	95.0	158.0	90.0	0.0
56	30.0	385.0	436.0	90.0	0.0
57	40.0	35.0	87.0	90.0	0.0
58	30.0	471.0	534.0	90.0	0.0
59	10.0	651.0	740.0	90.0	0.0
60	20.0	562.0	629.0	90.0	0.0
61	10.0	531.0	610.0	90.0	0.0
62	20.0	262.0	317.0	90.0	0.0
63	50.0	171.0	218.0	90.0	0.0
64	10.0	632.0	693.0	90.0	0.0
65	10.0	76.0	129.0	90.0	0.0
66	10.0	826.0	875.0	90.0	0.0
67	10.0	12.0	77.0	90.0	0.0
68	10.0	734.0	777.0	90.0	0.0
69	10.0	916.0	969.0	90.0	0.0
70	30.0	387.0	456.0	90.0	0.0
71	20.0	293.0	360.0	90.0	0.0
72	10.0	450.0	505.0	90.0	0.0
73	10.0	478.0	551.0	90.0	0.0
74	50.0	353.0	412.0	90.0	0.0
75	20.0	997.0	1068.0	90.0	0.0
76	10.0	203.0	260.0	90.0	0.0
77	10.0	574.0	643.0	90.0	0.0
78	20.0	109.0	170.0	90.0	0.0
79	10.0	668.0	731.0	90.0	0.0
80	10.0	769.0	820.0	90.0	0.0
81	30.0	47.0	124.0	90.0	0.0
82	20.0	369.0	420.0	90.0	0.0
83	10.0	265.0	338.0	90.0	0.0
84	20.0	458.0	523.0	90.0	0.0
85	30.0	555.0	612.0	90.0	0.0
86	10.0	173.0	238.0	90.0	0.0
87	20.0	85.0	144.0	90.0	0.0
88	30.0	645.0	708.0	90.0	0.0
89	10.0	737.0	802.0	90.0	0.0
90	10.0	20.0	84.0	90.0	0.0
91	10.0	836.0	889.0	90.0	0.0
92	20.0	368.0	441.0	90.0	0.0
93	40.0	475.0	518.0	90.0	0.0
94	10.0	285.0	336.0	90.0	0.0
95	30.0	196.0	239.0	90.0	0.0
96	10.0	95.0	156.0	90.0	0.0
97	30.0	561.0	622.0	90.0	0.0
98	20.0	30.0	84.0	90.0	0.0
99	10.0	743.0	820.0	90.0	0.0
100	20.0	647.0	726.0	90.0	0.0
