id	X	Y
0	40.0	50.0
1	45.0	68.0
2	45.0	70.0
3	42.0	66.0
4	42.0	68.0
5	42.0	65.0
6	40.0	69.0
7	40.0	66.0
8	38.0	68.0
9	38.0	70.0
10	35.0	66.0
11	35.0	69.0
12	25.0	85.0
13	22.0	75.0
14	22.0	85.0
15	20.0	80.0
16	20.0	85.0
17	18.0	75.0
18	15.0	75.0
19	15.0	80.0
20	30.0	50.0
21	30.0	52.0
22	28.0	52.0
23	28.0	55.0
24	25.0	50.0
25	25.0	52.0
26	25.0	55.0
27	23.0	52.0
28	23.0	55.0
29	20.0	50.0
30	20.0	55.0
31	10.0	35.0
32	10.0	40.0
33	8.0	40.0
34	8.0	45.0
35	5.0	35.0
36	5.0	45.0
37	2.0	40.0
38	0.0	40.0
39	0.0	45.0
40	35.0	30.0
41	35.0	32.0
42	33.0	32.0
43	33.0	35.0
44	32.0	30.0
45	30.0	30.0
46	30.0	32.0
47	30.0	35.0
48	28.0	30.0
49	28.0	35.0
50	26.0	32.0
51	25.0	30.0
52	25.0	35.0
53	44.0	5.0
54	42.0	10.0
55	42.0	15.0
56	40.0	5.0
57	40.0	15.0
58	38.0	5.0
59	38.0	15.0
60	35.0	5.0
61	50.0	30.0
62	50.0	35.0
63	50.0	40.0
64	48.0	30.0
65	48.0	40.0
66	47.0	35.0
67	47.0	40.0
68	45.0	30.0
69	45.0	35.0
70	95.0	30.0
71	95.0	35.0
72	53.0	30.0
73	92.0	30.0
74	53.0	35.0
75	45.0	65.0
76	90.0	35.0
77	88.0	30.0
78	88.0	35.0
79	87.0	30.0
80	85.0	25.0
81	85.0	35.0
82	75.0	55.0
83	72.0	55.0
84	70.0	58.0
85	68.0	60.0
86	66.0	55.0
87	65.0	55.0
88	65.0	60.0
89	63.0	58.0
90	60.0	55.0
91	60.0	60.0
92	67.0	85.0
93	65.0	85.0
94	65.0	82.0
95	62.0	80.0
96	60.0	80.0
97	60.0	85.0
98	58.0	75.0
99	55.0	80.0
100	55.0	85.0
